dateid01,exreturn,ln_divyield,month,time
1931-01-01,5.9649583974352325,-282.23286576740488,1,1931
1931-02-01,10.305305356802409,-293.20890249296863,2,1931
1931-03-01,-6.8408313614513063,-287.86141362597406,3,1931
1931-04-01,-10.448065303930641,-278.24770544899769,4,1931
1931-05-01,-14.358076972143641,-265.47415169662269,5,1931
1931-06-01,12.850261011062188,-280.51024770474606,6,1931
1931-07-01,-6.6559178955825038,-275.59504747925672,7,1931
1931-08-01,0.046148490199611131,-278.44241832614728,8,1931
1931-09-01,-34.258389402088225,-247.18290594403259,9,1931
1931-10-01,7.6799039179083788,-255.03209939805969,10,1931
1931-11-01,-9.5340623458043425,-247.25579936464256,11,1931
1931-12-01,-14.613052568964369,-236.34332198041672,12,1931
1932-01-01,-1.3088847024388148,-237.54378268590391,1,1932
1932-02-01,5.39185232600358,-245.92473502971759,2,1932
1932-03-01,-11.691034297883666,-237.75852654340988,3,1932
1932-04-01,-19.965004130801416,-220.89403185146731,4,1932
1932-05-01,-23.228074609484547,-201.76174834109384,5,1932
1932-06-01,-0.97143409848652938,-204.72234339484209,6,1932
1932-07-01,28.597031079774631,-237.16778947611081,7,1932
1932-08-01,31.113695695871538,-272.73582413150144,8,1932
1932-09-01,-3.2352083602479281,-272.80996737667813,9,1932
1932-10-01,-14.011752230423345,-265.57285444610147,10,1932
1932-11-01,-5.7386067693911838,-264.54135470742716,11,1932
1932-12-01,4.3764421482956788,-270.73983069579031,12,1932
1933-01-01,0.95355629018093088,-274.16256608207716,1,1933
1933-02-01,-14.229937550481369,-263.95477695503934,2,1933
1933-03-01,1.5445858562725522,-267.78781033155019,3,1933
1933-04-01,32.307309901694725,-302.15292727792769,4,1933
1933-05-01,19.192487660105119,-324.3895368839205,5,1933
1933-06-01,12.526431983885267,-338.1843862526615,6,1933
1933-07-01,-10.122393041557895,-328.60865733279138,7,1933
1933-08-01,11.461837919234288,-343.402140930537,8,1933
1933-09-01,-11.183959557168898,-332.72423628463456,9,1933
1933-10-01,-8.62304777753773,-323.14393009598131,10,1933
1933-11-01,9.477308732907115,-330.02199745488088,11,1933
1933-12-01,1.9717464316357919,-334.63794601890744,12,1933
1934-01-01,12.173147188961853,-345.06481294263438,1,1934
1934-02-01,-2.3945521330417216,-342.02829585979806,2,1934
1934-03-01,0.47086457602901263,-340.64248583630675,3,1934
1934-04-01,-1.8264309562951494,-337.38063691897281,4,1934
1934-05-01,-7.3412476213141038,-329.05696018382944,5,1934
1934-06-01,2.4830087299199616,-330.35150294843513,6,1934
1934-07-01,-11.462938776338903,-316.33820515212769,7,1934
1934-08-01,5.7778848212207325,-316.36595773623694,8,1934
1934-09-01,-0.29883857123198738,-315.42408866106738,9,1934
1934-10-01,-2.0572232497792947,-312.88463202566188,10,1934
1934-11-01,8.066288229657365,-320.85299553833369,11,1934
1934-12-01,0.39513567923752831,-318.167163794148,12,1934
1935-01-01,-3.2708263287520419,-314.51200887455294,1,1935
1935-02-01,-2.011903133377265,-311.56106034574069,2,1935
1935-03-01,-3.8230702426797238,-306.78418615170206,3,1935
1935-04-01,8.5629839223312413,-315.47078905009069,4,1935
1935-05-01,3.4104470645300575,-317.31469687624369,5,1935
1935-06-01,5.3335646233886144,-321.48580816967475,6,1935
1935-07-01,7.1327793858685625,-328.64745826432944,7,1935
1935-08-01,2.7351651328730906,-332.15680094098844,8,1935
1935-09-01,2.3645829830143231,-332.05468687105544,9,1935
1935-10-01,6.8017230933379763,-337.6329459412685,10,1935
1935-11-01,5.0263630428547231,-337.4943845582685,11,1935
1935-12-01,4.5014636576309,-340.39630881461488,12,1935
1936-01-01,6.3777364057908475,-344.98234389683369,1,1936
1936-02-01,2.5627316125421803,-346.08141010387975,2,1936
1936-03-01,0.84572634976086775,-345.98883862535231,3,1936
1936-04-01,-8.1959629809321225,-336.44038426392506,4,1936
1936-05-01,4.9146947824061675,-335.79365758353381,5,1936
1936-06-01,2.5363791605715353,-336.15025901478169,6,1936
1936-07-01,6.1857648050917225,-340.63295013741625,7,1936
1936-08-01,1.1110943650010141,-336.54013593752538,8,1936
1936-09-01,1.4515583735003206,-335.37982534489913,9,1936
1936-10-01,6.7455041685589338,-340.882667293597,10,1936
1936-11-01,3.3560964613071281,-329.00380822027294,11,1936
1936-12-01,0.11599504997696409,-321.27824031755638,12,1936
1937-01-01,3.204327694224735,-324.48638139615688,1,1937
1937-02-01,1.3032316147899103,-324.63223124016425,2,1937
1937-03-01,-0.43610269035468913,-321.84656070739269,3,1937
1937-04-01,-7.7904360084735288,-313.82310230960488,4,1937
1937-05-01,-0.87345568254928113,-309.99334826588063,5,1937
1937-06-01,-4.187301818917395,-302.91380217798406,6,1937
1937-07-01,8.0525442297051275,-310.79727781524444,7,1937
1937-08-01,-4.6745133253275863,-304.76423192714113,8,1937
1937-09-01,-14.540253136010678,-288.06747569512113,9,1937
1937-10-01,-9.97981569115398,-278.32106143456081,10,1937
1937-11-01,-8.7234899981603938,-268.39374853450728,11,1937
1937-12-01,-4.1654064415236113,-263.97713949653616,12,1937
1938-01-01,0.82814184612624075,-265.53435414204994,1,1938
1938-02-01,5.5645605459847269,-271.72406287520222,2,1938
1938-03-01,-27.019910169936234,-245.45057620513744,3,1938
1938-04-01,13.575009378258022,-259.50586183816625,4,1938
1938-05-01,-3.9863740019960744,-259.91497515808475,5,1938
1938-06-01,21.200683159390788,-284.00317868433169,6,1938
1938-07-01,6.9428205561812113,-292.00013215681275,7,1938
1938-08-01,-2.7743665902937331,-293.84176722581375,8,1938
1938-09-01,0.86662650959513925,-298.65441156019181,9,1938
1938-10-01,7.4497134510894975,-306.67146167354338,10,1938
1938-11-01,-1.8434092829053194,-319.44676471021206,11,1938
1938-12-01,3.9773089081629238,-329.23444079924806,12,1938
1939-01-01,-6.146889995446815,-323.2705146331875,1,1939
1939-02-01,3.4121663970239263,-325.01251632654719,2,1939
1939-03-01,-12.680421460362366,-312.38770607069744,3,1939
1939-04-01,-0.26049858920914394,-311.85626301938038,4,1939
1939-05-01,6.6326152237582625,-316.57287024557375,5,1939
1939-06-01,-5.4831008692306213,-310.07189309578613,6,1939
1939-07-01,9.6403296282910188,-319.4949441836655,7,1939
1939-08-01,-6.830677849614995,-309.54829491785125,8,1939
1939-09-01,14.832635483175247,-323.21421088336844,9,1939
1939-10-01,-0.41455418840296113,-322.97438255626469,10,1939
1939-11-01,-3.7295367492546275,-309.51382231463319,11,1939
1939-12-01,2.9603149841417819,-309.088346472739,12,1939
1940-01-01,-2.48893099847188,-306.17447722362013,1,1940
1940-02-01,1.4169725260205841,-305.16493853952525,2,1940
1940-03-01,1.8695681524375,-306.67186431190163,3,1940
1940-04-01,0.14500265117525784,-305.65169344282856,4,1940
1940-05-01,-24.869419125166666,-276.27128030995584,5,1940
1940-06-01,6.441719687707375,-281.78009426623819,6,1940
1940-07-01,3.1956741369294125,-284.44116573065706,7,1940
1940-08-01,2.3364806601183897,-283.53889884461313,8,1940
1940-09-01,2.2710512457736688,-284.948433498657,9,1940
1940-10-01,2.9636984888481669,-286.9010505861745,10,1940
1940-11-01,-1.6569814916476434,-283.81118083870213,11,1940
1940-12-01,0.70371044999466738,-283.42163320040944,12,1940
1941-01-01,-4.1323561133180188,-279.35773222263084,1,1941
1941-02-01,-1.4959907132060234,-276.63666525341056,2,1941
1941-03-01,0.935406662139329,-275.52411844632922,3,1941
1941-04-01,-5.4382362033014456,-270.59136536162481,4,1941
1941-05-01,1.4137244357491222,-270.48187769692906,5,1941
1941-06-01,5.6690181675301088,-273.68349654613566,6,1941
1941-07-01,5.6727285131935488,-278.80139894705588,7,1941
1941-08-01,0.048473391248720744,-277.41691806777641,8,1941
1941-09-01,-0.75347928721155213,-275.78090667713491,9,1941
1941-10-01,-5.2967248818290094,-269.89691136058325,10,1941
1941-11-01,-1.9851582095719813,-264.34713295249259,11,1941
1941-12-01,-4.8084769599064325,-257.11869084188447,12,1941
1942-01-01,0.55853081200037844,-257.67316043669013,1,1942
1942-02-01,-2.3212848606725794,-255.38711950734097,2,1942
1942-03-01,-6.7906061860642188,-247.82280464870441,3,1942
1942-04-01,-4.4204280482462331,-243.07693605700191,4,1942
1942-05-01,5.9478990172113525,-250.54454532283091,5,1942
1942-06-01,2.4463662897533788,-252.92585654173016,6,1942
1942-07-01,3.3966978047344581,-256.39608422210772,7,1942
1942-08-01,1.8225024339793575,-260.15089845702506,8,1942
1942-09-01,2.5676822129912266,-262.39129271595119,9,1942
1942-10-01,6.5402560629297838,-269.81502225457972,10,1942
1942-11-01,0.11269994071158884,-273.12399179312422,11,1942
1942-12-01,4.8182981668031131,-278.92890339237466,12,1942
1943-01-01,7.2373532956534763,-286.29522001396606,1,1943
1943-02-01,5.8063082579333438,-292.16210253457644,2,1943
1943-03-01,5.9576437104259637,-298.12854026516988,3,1943
1943-04-01,0.65520627964144488,-298.77290275091088,4,1943
1943-05-01,5.5189913896503494,-303.23760740935563,5,1943
1943-06-01,1.6597566025539659,-304.06529070703456,6,1943
1943-07-01,-4.7654834968014456,-299.43862603915106,7,1943
1943-08-01,1.2546190431265869,-300.30240714576138,8,1943
1943-09-01,2.3633778916842819,-300.86808724678606,9,1943
1943-10-01,-1.2590892776972833,-300.08865752397531,10,1943
1943-11-01,-6.0419846906582413,-292.08161916251088,11,1943
1943-12-01,6.109165339438905,-297.81908908538438,12,1943
1944-01-01,1.7434390857974934,-299.167208141724,1,1944
1944-02-01,0.39787401590015044,-297.85779630133106,2,1944
1944-03-01,2.3725809521138506,-299.42054007732019,3,1944
1944-04-01,-1.7632369225107513,-297.94937390019544,4,1944
1944-05-01,5.0313643249779006,-301.00658123764806,5,1944
1944-06-01,5.4898041930572613,-305.47642539980988,6,1944
1944-07-01,-1.5513311247817069,-303.87297410210275,7,1944
1944-08-01,1.4913019984672903,-302.83577840867706,8,1944
1944-09-01,0.011630567018641247,-303.81769398233525,9,1944
1944-10-01,0.23985621034219656,-303.08847677396031,10,1944
1944-11-01,1.5035069079360906,-301.60092531665469,11,1944
1944-12-01,4.1112842406263212,-305.85579003554875,12,1944
1945-01-01,1.7726619419046475,-307.41226720781906,1,1945
1945-02-01,6.311729229928965,-312.89484788570419,2,1945
1945-03-01,-4.0154050017098663,-308.1800386770865,3,1945
1945-04-01,7.4655321460291025,-315.38656538328069,4,1945
1945-05-01,1.7799658146976909,-314.29795797107519,5,1945
1945-06-01,0.386812998078267,-316.02532308071875,6,1945
1945-07-01,-2.279395592244775,-313.60121641395081,7,1945
1945-08-01,5.8658314291570675,-318.64871494460094,8,1945
1945-09-01,4.6645559088797681,-322.62493343663081,9,1945
1945-10-01,3.8148623614915575,-326.44074758397569,10,1945
1945-11-01,5.3119167855672413,-330.72556475635419,11,1945
1945-12-01,1.1141824587894655,-332.65062955739956,12,1945
1946-01-01,6.1065669108884263,-338.05066260274356,1,1946
1946-02-01,-5.9927152382659613,-330.95801672432106,2,1946
1946-03-01,5.760554894533065,-336.30518650939494,3,1946
1946-04-01,4.0360864272441763,-339.70828837136344,4,1946
1946-05-01,3.9615779732500081,-344.00751098727875,5,1946
1946-06-01,-4.0541141615843006,-339.12789610799325,6,1946
1946-07-01,-2.6240252001532691,-334.69418855983381,7,1946
1946-08-01,-6.6304650767849575,-326.74933286095519,8,1946
1946-09-01,-10.598975024079872,-314.64438154866306,9,1946
1946-10-01,-1.4643088543464003,-311.84649026201469,10,1946
1946-11-01,0.11543158860785467,-312.16261100570475,11,1946
1946-12-01,4.9278189467187188,-310.59728348427419,12,1946
1947-01-01,1.4761731027785469,-311.35502580925319,1,1947
1947-02-01,-1.2095457887528816,-307.10397101279094,2,1947
1947-03-01,-1.7306882224721,-304.36089203440281,3,1947
1947-04-01,-4.9256783764797338,-298.2704222706725,4,1947
1947-05-01,-1.0465224125432822,-294.17056325336256,5,1947
1947-06-01,5.1951342713724856,-297.65243205842156,6,1947
1947-07-01,4.0287784869177938,-301.37323099714225,7,1947
1947-08-01,-1.7978765987899997,-297.63430252413806,8,1947
1947-09-01,-0.47792509321483088,-295.01653678859081,9,1947
1947-10-01,2.3749414119271034,-296.76227623899725,10,1947
1947-11-01,-1.8886897613947703,-288.86011018625125,11,1947
1947-12-01,2.8634015309357944,-289.95079911806225,12,1947
1948-01-01,-3.8447697433314638,-285.66727750531994,1,1948
1948-02-01,-4.5258140284428331,-279.71497755489941,2,1948
1948-03-01,7.8509270124829663,-285.09235318620569,3,1948
1948-04-01,3.6202114626632425,-288.00145549131163,4,1948
1948-05-01,7.1049653371758788,-295.10707905173612,5,1948
1948-06-01,-0.092572546520241888,-292.49181267225888,6,1948
1948-07-01,-5.25368928096481,-287.82413740478044,7,1948
1948-08-01,0.292859634883123,-285.29211321511363,8,1948
1948-09-01,-3.0705975422463531,-280.65007516667941,9,1948
1948-10-01,5.76449020267856,-284.71390789181269,10,1948
1948-11-01,-9.590034795515665,-272.01747786999034,11,1948
1948-12-01,3.067768383780575,-273.19144479315759,12,1948
1949-01-01,0.2000378634307735,-273.14047585166525,1,1949
1949-02-01,-3.0019620632419988,-267.66392406213872,2,1949
1949-03-01,3.9074177861250681,-270.32676760325569,3,1949
1949-04-01,-1.9140121759383441,-267.68733770894584,4,1949
1949-05-01,-2.87816427527058,-263.36388320443922,5,1949
1949-06-01,0.25103031439316331,-262.41656098417997,6,1949
1949-07-01,5.3117825258520844,-267.67453797902891,7,1949
1949-08-01,2.5228796084278638,-268.29209005016656,8,1949
1949-09-01,3.0705929052705825,-272.13315450127238,9,1949
1949-10-01,3.0176700743857731,-276.67837695101678,10,1949
1949-11-01,1.8167637545391384,-272.35398643938009,11,1949
1949-12-01,5.0374261362747569,-277.30514818653022,12,1949
1950-01-01,1.5196635060994072,-278.50555333492388,1,1950
1950-02-01,1.3508391423789431,-278.33605705660256,2,1950
1950-03-01,1.1157266095181688,-278.67712743931872,3,1950
1950-04-01,3.8504859435378394,-282.85435297119319,4,1950
1950-05-01,4.0974760484428481,-283.58087721841981,5,1950
1950-06-01,-5.91677425753884,-277.67315848524697,6,1950
1950-07-01,1.4840914447610459,-278.87214173232066,7,1950
1950-08-01,4.8139224258413469,-276.61855603463966,8,1950
1950-09-01,4.662258494190645,-279.10790606024922,9,1950
1950-10-01,-0.26296895981565416,-278.31742169902697,10,1950
1950-11-01,2.7520244776827441,-271.63854021852456,11,1950
1950-12-01,5.4522928485582869,-275.64210382643269,12,1950
1951-01-01,5.50585790514934,-280.43496134050031,1,1951
1951-02-01,1.3981423267941095,-279.46917027427863,2,1951
1951-03-01,-2.2322648172412153,-276.28529591128069,3,1951
1951-04-01,4.7261444891132231,-281.02172632170375,4,1951
1951-05-01,-2.39893151381881,-275.45001984932441,5,1951
1951-06-01,-2.6691223913575131,-272.19369655526759,6,1951
1951-07-01,6.7090653155271563,-278.80006569295325,7,1951
1951-08-01,4.2824977761172925,-282.67020403511819,8,1951
1951-09-01,0.77649884937969225,-283.70562494293881,9,1951
1951-10-01,-2.4112268016990641,-280.43081998465813,10,1951
1951-11-01,0.489663419589457,-286.61466173161538,11,1951
1951-12-01,3.3055380997505044,-291.14625592749106,12,1951
1952-01-01,1.5389399229973053,-292.94061722382081,1,1952
1952-02-01,-2.6285957560766578,-287.60814075529819,2,1952
1952-03-01,4.3337649234974538,-291.99502759527344,3,1952
1952-04-01,-5.117702300054095,-286.29581569800231,4,1952
1952-05-01,3.0730662840045125,-288.53827377348513,5,1952
1952-06-01,3.7144602965083463,-292.01841100583519,6,1952
1952-07-01,1.0317889705715659,-292.46471447892506,7,1952
1952-08-01,-0.845921012227829,-292.00673161088588,8,1952
1952-09-01,-2.0985865705493128,-289.11151567868181,9,1952
1952-10-01,-0.6539838037518935,-288.89602687264688,10,1952
1952-11-01,5.6235557990900963,-294.41018435630956,11,1952
1952-12-01,2.9020067317335638,-297.01079935762144,12,1952
1953-01-01,-0.32723227139970075,-297.49444795401606,1,1953
1953-02-01,-0.30331463125264388,-295.68440317258338,2,1953
1953-03-01,-1.530300307711035,-294.09132737000356,3,1953
1953-04-01,-2.9398506454527481,-291.63106473165713,4,1953
1953-05-01,0.49867011667134444,-291.4048039584785,5,1953
1953-06-01,-1.8217395347933756,-288.92865192111988,6,1953
1953-07-01,2.3499840549476425,-291.28747385621575,7,1953
1953-08-01,-4.6652701492535906,-285.93592892514313,8,1953
1953-09-01,0.15473195708157216,-285.57778147792613,9,1953
1953-10-01,4.4703111034941988,-290.24158864317831,10,1953
1953-11-01,2.7092757653845597,-291.06869510917281,11,1953
1953-12-01,-0.034940934649827781,-289.60719326417063,12,1953
1954-01-01,4.8263885442390125,-294.27526275477963,1,1954
1954-02-01,1.8307097003876241,-295.55398283099919,2,1954
1954-03-01,3.6298292900558938,-298.38876583237831,3,1954
1954-04-01,4.0855807122504244,-302.38827039214313,4,1954
1954-05-01,3.0364484005268044,-304.46733639253656,5,1954
1954-06-01,1.0744861481917989,-304.58490308254925,6,1954
1954-07-01,4.8695045963713881,-309.50863844042144,7,1954
1954-08-01,-2.3391054661365356,-304.94111840584625,8,1954
1954-09-01,6.1463908930103738,-311.16550732604275,9,1954
1954-10-01,-1.7056477566329091,-308.87798366509188,10,1954
1954-11-01,9.0969832100848825,-314.012152346192,11,1954
1954-12-01,5.3104151734203263,-319.65035783066006,12,1954
1955-01-01,0.62226981756616325,-320.37764760587388,1,1955
1955-02-01,3.0023628166575656,-322.03006928709219,2,1955
1955-03-01,-0.21056818244108416,-320.60141921028563,3,1955
1955-04-01,3.0712138307760131,-323.66934155210188,4,1955
1955-05-01,1.0442668707144748,-322.55852327854231,5,1955
1955-06-01,6.2926158813777925,-328.66406666619338,6,1955
1955-07-01,1.8843900641642425,-330.59109453286644,7,1955
1955-08-01,0.27535972696586297,-328.21238970885988,8,1955
1955-09-01,-0.38644145408684025,-327.19405400598356,9,1955
1955-10-01,-2.783165189724545,-324.38079130807588,10,1955
1955-11-01,6.7378970249657275,-325.91423852930713,11,1955
1955-12-01,1.4592434097767919,-326.64889911941025,12,1955
1956-01-01,-3.0719822314564563,-321.89967876975388,1,1956
1956-02-01,3.6958931238422469,-324.45897251901638,2,1956
1956-03-01,6.4381403217253238,-330.71552948584456,3,1956
1956-04-01,0.3362472137521015,-330.755795762225,4,1956
1956-05-01,-5.2588051784371356,-322.54696598611694,5,1956
1956-06-01,3.429826374216075,-325.51262710799206,6,1956
1956-07-01,4.8010186961159825,-329.04174172394713,7,1956
1956-08-01,-3.1297390149140938,-325.26060012148319,8,1956
1956-09-01,-5.3777208935615019,-319.43651654492706,9,1956
1956-10-01,0.51247225971427481,-318.35710515448163,10,1956
1956-11-01,0.591519030430018,-322.0438184833015,11,1956
1956-12-01,2.7784508110345403,-324.05251335506125,12,1956
1957-01-01,-3.5220447103363944,-320.35886560616363,1,1957
1957-02-01,-2.1169569941692022,-316.70290639742431,2,1957
1957-03-01,2.1375438428127472,-318.064546243308,3,1957
1957-04-01,4.1431869843496194,-321.41627384554144,4,1957
1957-05-01,3.329137959898465,-324.92436487460088,5,1957
1957-06-01,-0.80680787510172613,-323.53862593207106,6,1957
1957-07-01,0.6644795945128375,-323.56948731717038,7,1957
1957-08-01,-5.3928426246041281,-318.07484371040863,8,1957
1957-09-01,-6.1855540032206588,-311.17399177770313,9,1957
1957-10-01,-4.4609940432031181,-306.89175326059244,10,1957
1957-11-01,2.2349579560545438,-309.94936511087988,11,1957
1957-12-01,-4.054293535301815,-305.33766047154125,12,1957
1958-01-01,4.6294435255720419,-310.65660144021925,1,1958
1958-02-01,-1.5326778923609813,-308.18330414248488,2,1958
1958-03-01,3.2239593973824894,-311.06013874928644,3,1958
1958-04-01,2.9476625172556681,-313.77931426736906,4,1958
1958-05-01,2.3132851504762925,-316.85873225480094,5,1958
1958-06-01,2.8765956413935525,-318.90752146138256,6,1958
1958-07-01,4.348925420120955,-323.37581714907719,7,1958
1958-08-01,1.8481424831693059,-326.16693086369138,8,1958
1958-09-01,4.5798163901868794,-329.98935151129488,9,1958
1958-10-01,2.5580691742890134,-332.77051519973319,10,1958
1958-11-01,2.8724546938527794,-336.48504125002538,11,1958
1958-12-01,4.9698475780300469,-341.97414205485637,12,1958
1959-01-01,0.69807412405054737,-342.6276088652325,1,1959
1959-02-01,0.9119449825849675,-343.73382726564725,2,1959
1959-03-01,0.25457110281070894,-343.76123176012813,3,1959
1959-04-01,3.575349481767915,-347.85345900676638,4,1959
1959-05-01,1.6579551345738044,-348.57187414561738,5,1959
1959-06-01,-0.15677509089899981,-347.96120521132019,6,1959
1959-07-01,3.1271702707804375,-351.7417110999905,7,1959
1959-08-01,-1.459517895951535,-348.67204335457081,8,1959
1959-09-01,-4.8830088090474419,-343.54312952858988,9,1959
1959-10-01,1.2373030942768108,-345.36177780010769,10,1959
1959-11-01,1.5549120608369331,-344.4283718419335,11,1959
1959-12-01,2.5219460214214844,-346.12223705082812,12,1959
1960-01-01,-7.2232292455999913,-339.10622972349663,1,1960
1960-02-01,0.98122512686452013,-338.9433392755505,2,1960
1960-03-01,-1.4446934650059859,-337.15277867060619,3,1960
1960-04-01,-1.7150831349518159,-335.43738855435944,4,1960
1960-05-01,3.0275145483961163,-337.31586592068163,5,1960
1960-06-01,2.1142849922353831,-339.23995487246994,6,1960
1960-07-01,-2.2519872835312919,-337.40697673887681,7,1960
1960-08-01,2.8119017199391956,-337.795066968078,8,1960
1960-09-01,-6.1713873807192713,-332.51352708954456,9,1960
1960-10-01,-0.69270144270480725,-331.8603116474925,10,1960
1960-11-01,4.6022673520636588,-335.26026909014313,11,1960
1960-12-01,4.5720274247033481,-341.45605201932919,12,1960
1961-01-01,6.0268674771538363,-346.96183404926287,1,1961
1961-02-01,3.4493671310502669,-350.35978875964325,2,1961
1961-03-01,2.815460124739505,-353.39494553078069,3,1961
1961-04-01,0.38742468488627444,-354.321250454067,4,1961
1961-05-01,2.37086928274709,-355.44575303939362,5,1961
1961-06-01,-3.0811191630049825,-352.91605207527044,6,1961
1961-07-01,2.76240787537769,-355.99887474288494,7,1961
1961-08-01,2.5109744361563022,-355.62063709012819,8,1961
1961-09-01,-2.1856180518854806,-353.40434479583919,9,1961
1961-10-01,2.5192984465173888,-355.07819102364494,10,1961
1961-11-01,4.279337972213745,-355.66856216276944,11,1961
1961-12-01,-0.098459167566290363,-357.26407042784031,12,1961
1962-01-01,-3.9173280851895706,-352.04992350656875,1,1962
1962-02-01,1.72821173223811,-351.81461150531269,2,1962
1962-03-01,-0.66478882631018388,-353.38033086511406,3,1962
1962-04-01,-6.780309148778155,-346.54092688262056,4,1962
1962-05-01,-9.0541342207515075,-334.56990701847144,5,1962
1962-06-01,-8.81162263813524,-327.57271233973831,6,1962
1962-07-01,6.0687265490218025,-332.72327431466263,7,1962
1962-08-01,2.0969352442853625,-335.23288943065494,8,1962
1962-09-01,-5.3523763653670325,-331.348030221978,9,1962
1962-10-01,-0.033495579049008969,-330.66902616832456,10,1962
1962-11-01,10.240997134147416,-339.60086164178663,11,1962
1962-12-01,0.92712163563761875,-339.80029087974056,12,1962
1963-01-01,4.8038369441230169,-345.2396043012235,1,1963
1963-02-01,-2.4431854979633222,-341.978605648342,2,1963
1963-03-01,3.0127596188154588,-344.69835669084006,3,1963
1963-04-01,4.3689029318766031,-348.67431742430481,4,1963
1963-05-01,1.7425220798359931,-348.70591549168288,5,1963
1963-06-01,-2.0474155407987316,-346.86903216683,6,1963
1963-07-01,-0.44996994589343156,-345.81099290878863,7,1963
1963-08-01,4.8860577254302244,-350.65399937693294,8,1963
1963-09-01,-1.4718950495620181,-349.0627350540575,9,1963
1963-10-01,2.4416001166239188,-351.526750163824,10,1963
1963-11-01,-0.8222029692727655,-348.4535660050195,11,1963
1963-12-01,1.8446991526960069,-349.78839848449706,12,1963
1964-01-01,2.2601107589955838,-352.60715794001825,1,1964
1964-02-01,1.4429185724540275,-352.313214625271,2,1964
1964-03-01,1.4189176342265303,-353.0493898244845,3,1964
1964-04-01,0.16975395228700403,-353.15100795876444,4,1964
1964-05-01,1.4686304029164078,-353.95400501267412,5,1964
1964-06-01,1.1835358820515352,-353.94436732604375,6,1964
1964-07-01,1.7114379185839584,-356.22252975056525,7,1964
1964-08-01,-1.4099664721058741,-353.31443596323975,8,1964
1964-09-01,2.7345739539419922,-354.74963066205088,9,1964
1964-10-01,0.58409577710217363,-355.8541892748655,10,1964
1964-11-01,0.017288604794953166,-354.30981446452031,11,1964
1964-12-01,0.064756405287935913,-353.74490625259113,12,1964
1965-01-01,3.500707630512105,-357.29104818519869,1,1965
1965-02-01,0.37304380352388669,-356.39652278293881,2,1965
1965-03-01,-1.3242117380799428,-354.41101200313431,3,1965
1965-04-01,2.9987857539593488,-357.40583990099006,4,1965
1965-05-01,-0.77410506284298513,-354.89577935557606,5,1965
1965-06-01,-5.6637386423956575,-348.62681368462363,6,1965
1965-07-01,1.3406723575219203,-350.42737751128275,7,1965
1965-08-01,2.7112567248906766,-351.11516714225231,8,1965
1965-09-01,2.8343709893091613,-354.02022149270394,9,1965
1965-10-01,2.5462723041030631,-356.79400378087725,10,1965
1965-11-01,-0.031328533016099744,-353.75612448672638,11,1965
1965-12-01,1.0332873498521263,-355.03031611977569,12,1965
1966-01-01,0.842690477599492,-356.12767896895631,1,1966
1966-02-01,-1.2135018679492348,-353.39563693653138,2,1966
1966-03-01,-2.4933581255076903,-350.36112116470631,3,1966
1966-04-01,2.0900967121135503,-352.33893329790294,4,1966
1966-05-01,-5.8002716910329163,-345.102242755827,5,1966
1966-06-01,-1.4036864136709295,-343.85800676684163,6,1966
1966-07-01,-1.6794360696973881,-342.14629294775088,7,1966
1966-08-01,-8.2489876984465963,-331.905112623876,8,1966
1966-09-01,-1.0864445995991463,-331.12323454677788,9,1966
1966-10-01,3.7045261253030419,-335.430336606176,10,1966
1966-11-01,1.3438962586285998,-336.35061511623744,11,1966
